Time,First,Last
01/02/2008 09:00:00.000,198.79,200.16
01/02/2008 10:00:00.000,200.16,198.05
01/02/2008 11:00:00.000,198.05,195.12
01/02/2008 12:00:00.000,195.12,194.47
01/02/2008 13:00:00.000,194.46,194.98
01/02/2008 14:00:00.000,195.01,194.12
01/02/2008 15:00:00.000,194.14,194.93
01/02/2008 16:00:00.000,194.84,194.84
01/03/2008 09:00:00.000,195.58,194.5
01/03/2008 10:00:00.000,194.54,194.85
01/03/2008 11:00:00.000,194.87,195.68
01/03/2008 12:00:00.000,195.68,196.35
01/03/2008 13:00:00.000,196.33,195.8
01/03/2008 14:00:00.000,195.84,195.51
01/03/2008 15:00:00.000,195.52,194.85
01/03/2008 16:00:00.000,194.89,194.97
01/04/2008 09:00:00.000,191.45,191.18
01/04/2008 10:00:00.000,191.21,189.05
01/04/2008 11:00:00.000,189.01,188.85
01/04/2008 12:00:00.000,188.87,188.19
01/04/2008 13:00:00.000,188.17,187.49
01/04/2008 14:00:00.000,187.49,184.22
01/04/2008 15:00:00.000,184.25,179.92
01/04/2008 16:00:00.000,179.92,179.9
01/07/2008 09:00:00.000,181.2,182.66
01/07/2008 10:00:00.000,182.68,173.07
01/07/2008 11:00:00.000,173.02,178.66
01/07/2008 12:00:00.000,178.63,179.63
01/07/2008 13:00:00.000,179.66,177.16
01/07/2008 14:00:00.000,177.16,175.58
01/07/2008 15:00:00.000,175.63,177.58
01/07/2008 16:00:00.000,177.64,177.64
01/08/2008 09:00:00.000,179.32,179.44
01/08/2008 10:00:00.000,179.44,180.52
01/08/2008 11:00:00.000,180.53,179.02
01/08/2008 12:00:00.000,178.98,179.59
01/08/2008 13:00:00.000,179.6,180.82
01/08/2008 14:00:00.000,180.81,178.37
01/08/2008 15:00:00.000,178.4,171.23
01/08/2008 16:00:00.000,171.2,171.07
01/09/2008 09:00:00.000,171.66,172.8
01/09/2008 10:00:00.000,172.81,172.55
01/09/2008 11:00:00.000,172.54,169.99
01/09/2008 12:00:00.000,169.99,171.77
01/09/2008 13:00:00.000,171.79,170.4
01/09/2008 14:00:00.000,170.41,173.94
01/09/2008 15:00:00.000,173.9,179.5
01/09/2008 16:00:00.000,179.48,179.4
01/10/2008 09:00:00.000,177.67,176.19
01/10/2008 10:00:00.000,176.19,176.18
01/10/2008 11:00:00.000,176.17,176.63
01/10/2008 12:00:00.000,176.6,179.31
01/10/2008 13:00:00.000,179.32,177.42
01/10/2008 14:00:00.000,177.34,179.35
01/10/2008 15:00:00.000,179.33,178.02
01/10/2008 16:00:00.000,178.02,178.02
01/11/2008 09:00:00.000,176.1,176.4
01/11/2008 10:00:00.000,176.33,175.78
01/11/2008 11:00:00.000,175.8,174.68
01/11/2008 12:00:00.000,174.7,173.15
01/11/2008 13:00:00.000,173.11,171.37
01/11/2008 14:00:00.000,171.36,171.01
01/11/2008 15:00:00.000,171.06,172.4
01/11/2008 16:00:00.000,172.5,172.58
01/14/2008 09:00:00.000,177.08,176.53
01/14/2008 10:00:00.000,176.54,177.6
01/14/2008 11:00:00.000,177.6,177.27
01/14/2008 12:00:00.000,177.27,176.88
01/14/2008 13:00:00.000,176.88,177.18
01/14/2008 14:00:00.000,177.19,178.16
01/14/2008 15:00:00.000,178.18,178.77
01/14/2008 16:00:00.000,178.78,178.78
01/15/2008 09:00:00.000,178.11,177.68
01/15/2008 10:00:00.000,177.69,175.91
01/15/2008 11:00:00.000,175.91,174.62
01/15/2008 12:00:00.000,174.61,169.58
01/15/2008 13:00:00.000,169.55,166.65
01/15/2008 14:00:00.000,166.7,166.91
01/15/2008 15:00:00.000,166.95,169
01/15/2008 16:00:00.000,169.01,169.04
01/16/2008 09:00:00.000,164.51,164.74
01/16/2008 10:00:00.000,164.74,158.7
01/16/2008 11:00:00.000,158.71,162.1
01/16/2008 12:00:00.000,162.1,162.65
01/16/2008 13:00:00.000,162.63,161.58
01/16/2008 14:00:00.000,161.59,163.3
01/16/2008 15:00:00.000,163.3,159.61
01/16/2008 16:00:00.000,159.61,159.79
01/17/2008 09:00:00.000,162.19,163.31
01/17/2008 10:00:00.000,163.29,160.72
01/17/2008 11:00:00.000,160.71,160.27
01/17/2008 12:00:00.000,160.28,161.56
01/17/2008 13:00:00.000,161.61,161.59
01/17/2008 14:00:00.000,161.59,160.52
01/17/2008 15:00:00.000,160.5,160
01/17/2008 16:00:00.000,159.95,159.68
01/18/2008 09:00:00.000,164.26,163.74
01/18/2008 10:00:00.000,163.76,164.43
01/18/2008 11:00:00.000,164.43,161.39
01/18/2008 12:00:00.000,161.42,162.89
01/18/2008 13:00:00.000,162.87,161.89
01/18/2008 14:00:00.000,161.88,160.92
01/18/2008 15:00:00.000,160.91,161.22
01/18/2008 16:00:00.000,161.22,161.36
01/22/2008 09:00:00.000,151.17,155.3
01/22/2008 10:00:00.000,155.35,156.79
01/22/2008 11:00:00.000,156.8,155.42
01/22/2008 12:00:00.000,155.42,157.48
01/22/2008 13:00:00.000,157.48,157.07
01/22/2008 14:00:00.000,157.02,156.85
01/22/2008 15:00:00.000,156.87,157.51
01/22/2008 16:00:00.000,157.46,155.64
01/23/2008 09:00:00.000,138.35,137.6
01/23/2008 10:00:00.000,137.6,136.69
01/23/2008 11:00:00.000,136.69,129.3
01/23/2008 12:00:00.000,129.28,126.71
01/23/2008 13:00:00.000,126.74,130.9
01/23/2008 14:00:00.000,130.92,133.02
01/23/2008 15:00:00.000,132.99,139.1
01/23/2008 16:00:00.000,139.14,138.95
01/24/2008 09:00:00.000,139.6,140
01/24/2008 10:00:00.000,140,135.26
01/24/2008 11:00:00.000,135.28,134.93
01/24/2008 12:00:00.000,134.92,134.26
01/24/2008 13:00:00.000,134.28,132.92
01/24/2008 14:00:00.000,132.9,133.53
01/24/2008 15:00:00.000,133.52,135.53
01/24/2008 16:00:00.000,135.54,135.6
01/25/2008 09:00:00.000,138.8,137.34
01/25/2008 10:00:00.000,137.35,133.5
01/25/2008 11:00:00.000,133.48,134.19
01/25/2008 12:00:00.000,134.18,131.85
01/25/2008 13:00:00.000,131.85,130.84
01/25/2008 14:00:00.000,130.84,131.26
01/25/2008 15:00:00.000,131.23,130.01
01/25/2008 16:00:00.000,129.97,130.01
01/28/2008 09:00:00.000,128,129.6
01/28/2008 10:00:00.000,129.6,131.07
01/28/2008 11:00:00.000,131.09,130.91
01/28/2008 12:00:00.000,130.91,130.95
01/28/2008 13:00:00.000,130.99,131.19
01/28/2008 14:00:00.000,131.22,129.62
01/28/2008 15:00:00.000,129.63,129.99
01/28/2008 16:00:00.000,130,130.01
01/29/2008 09:00:00.000,130.78,131.48
01/29/2008 10:00:00.000,131.47,131.37
01/29/2008 11:00:00.000,131.41,131.24
01/29/2008 12:00:00.000,131.22,129.89
01/29/2008 13:00:00.000,129.89,130.01
01/29/2008 14:00:00.000,130.01,130.86
01/29/2008 15:00:00.000,130.85,131.5
01/29/2008 16:00:00.000,131.5,131.54
01/30/2008 09:00:00.000,131.23,130.92
01/30/2008 10:00:00.000,130.9,131.93
01/30/2008 11:00:00.000,131.93,131.91
01/30/2008 12:00:00.000,131.92,131.97
01/30/2008 13:00:00.000,131.96,132.01
01/30/2008 14:00:00.000,132.01,134.88
01/30/2008 15:00:00.000,134.87,132.17
01/30/2008 16:00:00.000,132.1,132.18
01/31/2008 09:00:00.000,129.59,130.97
01/31/2008 10:00:00.000,130.98,131.72
01/31/2008 11:00:00.000,131.73,134.25
01/31/2008 12:00:00.000,134.25,134.05
01/31/2008 13:00:00.000,134.02,134.64
01/31/2008 14:00:00.000,134.64,135.39
01/31/2008 15:00:00.000,135.4,134.99
01/31/2008 16:00:00.000,134.83,135.36
02/01/2008 09:00:00.000,136.16,135.02
02/01/2008 10:00:00.000,135,132.52
02/01/2008 11:00:00.000,132.52,134.11
02/01/2008 12:00:00.000,134.1,133.57
02/01/2008 13:00:00.000,133.59,133.7
02/01/2008 14:00:00.000,133.67,134.12
02/01/2008 15:00:00.000,134.12,133.71
02/01/2008 16:00:00.000,133.7,133.75
02/04/2008 09:00:00.000,134,135.53
02/04/2008 10:00:00.000,135.52,135.36
02/04/2008 11:00:00.000,135.36,133.54
02/04/2008 12:00:00.000,133.54,132.83
02/04/2008 13:00:00.000,132.83,132.96
02/04/2008 14:00:00.000,132.96,132.14
02/04/2008 15:00:00.000,132.15,131.71
02/04/2008 16:00:00.000,131.71,131.65
02/05/2008 09:00:00.000,130.85,132.94
02/05/2008 10:00:00.000,132.93,132.06
02/05/2008 11:00:00.000,132.08,130.74
02/05/2008 12:00:00.000,130.74,130.34
02/05/2008 13:00:00.000,130.33,129.42
02/05/2008 14:00:00.000,129.42,129.96
02/05/2008 15:00:00.000,129.94,129.42
02/05/2008 16:00:00.000,129.38,129.36
02/06/2008 09:00:00.000,130.34,130.95
02/06/2008 10:00:00.000,130.96,129.12
02/06/2008 11:00:00.000,129.12,128.48
02/06/2008 12:00:00.000,128.47,127.26
02/06/2008 13:00:00.000,127.25,124.85
02/06/2008 14:00:00.000,124.85,125.16
02/06/2008 15:00:00.000,125.15,121.99
02/06/2008 16:00:00.000,121.99,122
02/07/2008 09:00:00.000,119.44,117.93
02/07/2008 10:00:00.000,117.93,119.86
02/07/2008 11:00:00.000,119.89,120.04
02/07/2008 12:00:00.000,120.03,121.77
02/07/2008 13:00:00.000,121.78,123.96
02/07/2008 14:00:00.000,123.98,120.56
02/07/2008 15:00:00.000,120.57,121.22
